px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	0	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0	1.59405e-318
8.44844	0.251375	-0.0579098	1.6263e-17	-6.93889e-18	8.44818	0.251553	8.45	0.25	-3.00027	0	0.000234734
8.4714	0.248611	-0.0176627	0.000160463	3.18484e-05	8.56759	0.241943	8.45	0.25	0	0	0.126265
8.464	0.250891	-0.020648	-7.08561e-06	-5.14854e-06	8.45582	0.253997	8.45	0.25	0	0	0.00614954
8.37257	0.251299	-0.937507	-0.00394565	-0.000480501	8.42544	0.254042	8.35	0.25	-1.81979	0	18.9094
8.30337	0.250777	-0.956519	-0.00244311	0.000280643	8.23962	0.24916	8.25	0.25	-1.81978	0	0.262414
8.09896	0.231493	-1.61618	0.202459	0.124901	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	45.2156
7.98973	0.199616	-1.65607	0.272465	0.158234	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	1.41476
7.80266	0.350939	-1.95495	-0.907722	-0.751971	7.61269	0.155818	7.7	0.15	-2.99982	0	16.8941
7.68569	0.295227	-2.01599	-0.462235	-0.424486	7.54016	0.159641	7.55	0.15	-2.99982	0	2.92065
7.56414	0.25659	-2.04284	-0.192029	-0.174202	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	0.975929
7.42877	0.189976	-2.02748	-0.0133059	-0.06992	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	2.12694
7.27365	0.164074	-2.19504	0.0484625	-0.0040716	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	7.01174
7.13652	0.0709511	-2.19115	0.218966	0.195102	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	1.55193
7.02597	-0.0330475	-2.14321	0.411135	0.529169	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	2.32799
6.91285	-0.147712	-2.15893	0.558877	0.696994	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	1.08399
6.80122	-0.189026	-2.1905	0.493748	0.402697	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	1.49026
6.70046	-0.302884	-2.22259	0.598778	0.50056	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	1.73373
6.65876	-0.471383	-2.22342	0.925451	1.17297	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	4.56234
6.59183	-0.58165	-2.2407	1.00638	1.19348	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0.325431
6.55473	-0.741951	-2.28193	1.2211	1.4953	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	1.60418
6.50994	-0.894894	-2.31592	1.32249	1.49043	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	1.48229
6.3976	-0.970154	-2.24899	1.1283	0.909859	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	8.49528
6.33249	-1.10862	-2.28332	1.17687	0.882947	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	1.37221
6.43689	-1.32085	-2.37848	1.61373	1.59614	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	28.6377
6.43291	-1.48122	-2.41898	1.6971	1.56878	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	1.86878
6.36494	-1.58034	-2.33371	1.5756	1.20257	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	12.3952
6.34388	-1.73342	-2.38307	1.61732	1.15786	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	2.98607
6.40007	-1.88888	-2.46489	1.78357	1.33291	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	7.0294
6.41033	-2.04135	-2.5075	1.83278	1.29748	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994	2.25278
6.39673	-2.18175	-2.47849	1.81621	1.15341	6.32593	-2.40018	6.35	-2.4	0	-2.72613	5.08628
6.41078	-2.3491	-2.52246	1.85569	1.11426	6.34927	-2.55175	6.35	-2.55	0	-2.72611	2.38607
6.45905	-2.50221	-2.56396	1.93084	1.13589	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851	1.69715
